name	id	cuisine	ingredients	type_of_dish1	recipes
Eccles cake	/m/04x974		Butter,Dried currant,Demerara	Pastry	
Stinky tofu	/m/0500_w	Cuisine of Hong Kong,Chinese			
Spinach salad	/m/05v685x		Spinach		
Lardon	/m/05hbp4	French			
Russian candy	/m/0clyfn				
Pecel	/m/0bhb04	Indonesian	Peanut	Sauce	
Black pepper crab	/m/0gg5gn	Singaporean cuisine			
Sriracha sauce	/m/0hhtgs2				
Honmei Choco	/m/03ns47m	Japanese Cuisine			
Vincotto	/m/03c79qr	Italian			
Czernina	/m/0490lp	Polish			
Jokpyeon	/m/04f54x8	Korean	Collagen		
20th Century	/m/03cdpd_		Lemon juice,Gin,Creme de cacao,Lillet		
Pelmeni	/m/03cs9b	Italian		Dumpling	
Satay bee hoon	/m/03clqbw	Singaporean cuisine			
Deep-fried Mars bar	/m/043y0g	Scottish cuisine			
Dum Pukht	/m/03c672z	Indian cuisine			
Flirtini	/m/03h3ccm		Champagne,Pineapple Juice,Vodka		
Calas	/m/03pnr7				
Pastina	/m/03cjnw5	Italian			
Bearnaise sauce	/m/040dl5	French			
Tasseography	/m/0481_7	Turkish			
Avre Bendi	/m/03c7620	Indian cuisine			
Tartufo	/m/0413v13	Italian			
Breton sauce	/m/04gmxc3	French			
Noghl	/m/04myvb_				
Piquillo pepper	/m/04gvl56	Spanish Cuisine			
Orange Tundra	/m/03nsmxw		Kahlúa,Vodka,Orange juice,Cream soda		
Crumpet	/m/03b6lj	Scottish cuisine			
Bánh tẻ	/m/03cl6hp	Vietnamese			
Sausage bun	/m/02q6t4t	Cuisine of Hong Kong			
Mett	/m/03ccnqh	German			
Besan barfi	/m/03c8hcz				
Tamil pachadi	/m/026489w	Tamil	Curd,Yoghurt,Vegetable	Salad	
Allen Key	/m/05n6k4s		Lemon juice,Gin		
Samgyeopsal	/m/0553tg	Korean barbecue,Korean	Garlic,Rice,Pork belly,Lettuce,Onion	Korean barbecue,Barbecue	
Misua	/m/04v0d3	Filipino			
Vodka McGovern	/m/05n7y4_		Vodka,Lime Juice,Carbonated water,Orange juice		
Dal Baati	/m/047f4s1	Indian cuisine			
